geog,Population_2010,Population-Aged-60-and-Over_2010,Unemployed_2010,Labor-Force_2010,College-Graduates_2010,People-in-Poverty_2010,Vacant-Homes_2010,Owner-Occupied-Homes_2010,Renter-Occupied-Homes_2010,Total-Occupied-Homes_2010,Population_2015,Population-Aged-60-and-Over_2015,Unemployed_2015,Labor-Force_2015,College-Graduates_2015,People-in-Poverty_2015,Vacant-Homes_2015,Owner-Occupied-Homes_2015,Renter-Occupied-Homes_2015,Total-Occupied-Homes_2015,Population_2020,Population-Aged-60-and-Over_2020,Unemployed_2020,Labor-Force_2020,College-Graduates_2020,People-in-Poverty_2020,Vacant-Homes_2020,Owner-Occupied-Homes_2020,Renter-Occupied-Homes_2020,Total-Occupied-Homes_2020
17121952100,3492,709,209,1645,529,1002,181,736,723,1459,2962,777,121,1391,365,583,290,776,558,1334,3037,720,144,1570,240,574,155,740,656,1396
17121952000,4208,1363,83,1957,918,639,159,1310,467,1777,4238,1139,123,2062,767,795,149,1331,491,1822,4353,1134,124,2146,505,790,47,1373,471,1844
17121951900,3089,706,120,1469,478,333,145,945,148,1092,2952,757,108,1491,494,366,99,976,197,1173,2929,759,132,1449,258,408,158,886,297,1183
17121951800,2541,662,213,1264,277,589,87,760,245,1005,2248,485,143,1054,290,595,113,694,199,893,2201,550,99,970,188,472,116,778,184,962
17121951700,2788,611,91,1436,408,224,154,948,133,1081,2590,599,145,1369,401,225,193,882,86,968,2551,682,64,1292,460,210,229,978,97,1075
17121951600,3428,901,187,1572,525,590,150,1198,206,1404,3695,834,129,1758,570,546,168,1102,277,1379,3272,899,115,1739,276,364,172,1270,228,1498
17119404100,2975,669,67,1591,482,125,115,1040,234,1274,2834,671,71,1293,242,360,175,909,243,1152,3030,953,36,1540,310,440,119,1142,314,1456
17119404000,2541,427,185,1116,332,668,425,478,507,985,2684,443,244,1217,233,826,367,408,611,1020,2630,543,83,1470,190,1191,349,624,545,1169
17119403802,4458,971,182,2335,744,489,186,1477,274,1751,4516,929,144,2211,856,272,204,1413,301,1714,4110,1221,70,2050,660,328,189,1548,288,1836
17119403801,4713,976,194,2495,1174,501,133,1570,261,1831,4773,1099,212,2649,1495,393,32,1690,209,1899,5240,1336,70,2832,1144,132,72,1815,203,2018
17119403702,5769,1111,117,3294,1387,143,130,2069,62,2131,5898,1141,263,3316,1642,106,229,1835,195,2030,5509,1011,84,3036,1303,136,210,1898,91,1989
17119403701,6013,1090,166,3126,1322,349,81,2022,83,2105,6263,1382,237,3167,1986,272,73,2075,221,2296,6102,1501,137,3117,2105,199,61,1920,212,2132
17119403604,6427,1734,247,3458,1448,170,212,2117,662,2779,6287,1532,273,3531,1682,726,168,1641,901,2542,6711,1680,163,3760,1256,588,127,1976,872,2848
17119403603,1828,317,49,1076,389,20,37,572,130,702,1960,404,28,1095,553,42,29,583,120,703,1711,493,9,916,546,90,26,662,101,763
17119403601,3029,436,114,1666,690,227,62,911,246,1157,3357,788,109,1641,982,351,51,892,502,1394,3634,1194,30,1673,937,98,52,1074,492,1566
17119403534,3931,865,149,2233,1045,183,120,1273,310,1582,4166,1185,187,2336,1508,290,45,1543,265,1808,4227,1288,48,2464,1226,240,58,1515,375,1890
17119403533,8841,1574,247,4951,2743,495,142,3012,491,3503,10064,2256,404,5451,3101,511,204,3053,766,3819,10791,2571,460,5899,2995,477,135,3466,801,4267
17119403532,5684,493,30,2332,1304,7,64,1306,64,1370,4865,571,143,2512,1335,94,45,1378,129,1507,5589,788,88,2664,1321,198,31,1609,131,1740
