geog,Population_2010,Population-Aged-60-and-Over_2010,Unemployed_2010,Labor-Force_2010,College-Graduates_2010,People-in-Poverty_2010,Vacant-Homes_2010,Owner-Occupied-Homes_2010,Renter-Occupied-Homes_2010,Total-Occupied-Homes_2010,Population_2015,Population-Aged-60-and-Over_2015,Unemployed_2015,Labor-Force_2015,College-Graduates_2015,People-in-Poverty_2015,Vacant-Homes_2015,Owner-Occupied-Homes_2015,Renter-Occupied-Homes_2015,Total-Occupied-Homes_2015,Population_2020,Population-Aged-60-and-Over_2020,Unemployed_2020,Labor-Force_2020,College-Graduates_2020,People-in-Poverty_2020,Vacant-Homes_2020,Owner-Occupied-Homes_2020,Renter-Occupied-Homes_2020,Total-Occupied-Homes_2020
17203030700,4472,668,144,2513,751,406,130,1305,338,1643,4583,896,184,2383,1006,763,97,1275,388,1663,4145,1023,106,2144,631,274,152,1209,322,1531
17203030602,3500,500,23,1840,758,199,94,1121,74,1195,3360,705,92,1831,816,84,77,1070,124,1194,4001,964,18,1883,969,89,27,1301,107,1408
17203030601,6286,1480,251,3049,1458,726,129,1583,605,2188,6508,1648,164,3350,1804,583,117,1769,668,2437,6374,1744,182,3226,1393,667,53,1520,991,2511
17203030502,2533,587,62,1404,425,111,99,941,128,1069,2638,621,111,1253,584,481,100,891,173,1064,2616,836,68,1283,296,283,121,898,227,1125
17203030501,7463,1214,101,4062,2505,224,50,2356,236,2592,7779,1293,210,4191,2745,354,203,2561,187,2748,7768,1844,90,3963,2903,91,216,2434,292,2726
17203030400,5239,1083,109,2540,1581,251,59,1636,387,2023,5717,1288,116,2601,1431,488,155,1503,507,2010,5555,1381,74,2838,1560,282,89,1864,317,2181
17203030300,2973,677,73,1451,470,240,45,952,158,1110,2990,804,64,1612,735,61,76,932,209,1141,2626,697,28,1305,373,64,85,757,221,978
17203030200,3339,770,84,1709,539,289,86,1058,292,1350,2961,711,96,1496,572,164,53,959,209,1168,2923,676,100,1510,323,188,118,956,233,1189
17203030100,2421,503,60,1341,452,144,87,866,156,1022,2570,509,136,1261,447,127,97,703,222,925,2495,654,34,1151,352,252,112,868,135,1003
17201980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,4,4
17201004300,5021,904,89,2647,1049,245,23,1664,332,1996,5098,1014,189,2660,1085,277,267,1673,334,2007,4675,1202,122,2522,780,144,37,1712,212,1924
17201004200,6426,1029,159,3617,1395,202,46,1859,250,2109,6371,1258,141,3567,1545,342,121,1931,344,2275,6451,1599,105,3645,1073,408,88,2180,302,2482
17201004100,5206,1365,166,2505,1237,232,299,1758,244,2002,5077,1577,296,2701,1150,260,368,1775,291,2066,5030,1460,176,2686,909,147,426,1667,265,1932
17201004005,2991,127,0,0,641,33,49,759,60,819,2901,342,72,1592,703,135,0,968,54,1022,3307,415,30,1879,513,114,21,1038,48,1086
17201004004,5913,903,0,0,829,949,238,1558,466,2024,5957,842,282,3089,1015,625,266,1529,626,2155,5842,903,140,3067,588,564,313,1510,799,2309
17201004003,2005,405,90,988,259,461,84,619,190,809,2096,540,82,1038,258,436,48,710,159,869,2020,490,64,976,136,508,90,705,163,868
17201004002,6400,1235,297,3350,1436,131,169,1954,458,2412,6926,1547,297,3844,1564,390,61,1979,693,2672,5952,1438,151,3231,858,556,95,1852,598,2450
17201003904,4726,747,196,2793,899,234,84,1243,559,1802,4664,1078,168,2601,1062,192,101,1453,449,1902,4613,954,199,2601,971,349,32,1385,384,1769
17201003903,5807,1095,205,3118,1729,71,151,1927,67,1994,5983,1308,216,3287,2093,155,126,2065,31,2096,5817,1600,146,2920,1700,313,30,2072,56,2128
17201003901,4745,629,122,2466,1337,75,30,1439,143,1582,4682,891,147,2345,1398,323,108,1415,233,1648,5062,1217,57,2666,1217,198,99,1625,176,1801
17201003811,1975,227,0,0,390,82,0,541,41,582,1465,374,107,945,293,35,39,477,48,525,1408,285,22,864,393,87,53,450,73,523
17201003810,5967,946,0,0,1937,378,193,1862,521,2383,6229,1075,131,3544,2166,383,257,2066,513,2579,6153,1441,333,3592,1666,729,139,1804,709,2513
17201003809,4224,888,244,2615,953,337,289,1340,646,1987,4798,1048,383,2685,1033,542,119,1252,1000,2252,4354,1085,93,2300,632,515,133,1454,655,2109
17201003808,3975,732,217,2354,817,301,62,1132,326,1458,3821,925,149,2072,689,214,57,1024,395,1419,3772,967,250,2290,463,215,83,1210,315,1525
17201003806,4423,494,229,2589,1139,40,43,1369,101,1470,4814,760,170,2876,1348,209,49,1460,179,1639,5051,971,102,2741,1428,85,24,1554,171,1725
17201003805,7195,1132,334,4107,1332,448,153,2435,236,2671,7114,1612,183,4056,1293,310,72,2230,475,2705,7389,1746,237,4029,1229,684,42,2453,329,2782
17201003801,5875,1093,172,2567,1222,916,242,1334,358,1692,6258,1386,276,3508,1555,573,138,1793,547,2340,6100,1878,154,3047,1118,157,302,1726,504,2230
17201003711,4544,863,192,2424,653,312,200,1496,230,1726,4763,1019,219,2440,752,539,186,1477,340,1817,3921,1018,104,2017,449,391,109,1282,310,1592
17201003710,2654,523,137,1536,639,111,33,852,146,998,2458,610,101,1365,628,25,51,747,190,937,2496,620,31,1192,412,144,40,756,197,953
17201003709,1926,292,231,1079,191,245,83,477,189,666,1706,197,112,799,193,499,32,269,362,631,1788,252,90,813,105,588,29,301,307,608
17201003708,3076,317,275,1665,424,574,225,672,491,1163,2830,403,240,1507,409,755,113,514,577,1091,3372,419,127,1781,338,769,127,731,536,1267
17201003707,3621,455,180,2188,479,691,343,515,1317,1832,3888,546,107,2451,715,637,206,461,1445,1906,3451,540,262,2258,503,495,136,528,1276,1804
17201003706,6605,1413,346,3348,1125,350,91,2362,46,2408,6439,1472,376,3067,1245,490,158,2202,110,2312,5317,1376,223,2942,635,117,56,1842,279,2121
17201003705,5262,1031,183,3037,1160,387,137,1795,99,1894,5003,1437,170,2685,1441,188,33,1750,301,2051,4824,1314,98,2724,992,144,66,1850,190,2040
17201003606,3054,472,161,1489,286,648,49,807,393,1200,2691,466,135,1270,348,718,153,663,378,1041,2849,809,219,1581,413,310,171,897,338,1235
17201003605,2765,869,85,818,455,391,153,190,592,782,1933,917,160,664,361,371,156,246,545,791,2302,1106,116,810,303,388,179,220,820,1040
17201003604,3310,676,133,1561,316,276,149,865,385,1250,2803,792,202,1421,384,499,128,819,440,1259,2749,689,114,1062,260,654,145,642,533,1175
17201003602,3936,1006,192,1590,600,1253,151,793,814,1607,3785,1069,214,1447,571,931,239,773,818,1591,4013,1262,160,1580,630,1290,96,804,1067,1871
17201003601,1990,502,80,939,308,450,52,641,120,761,1614,472,128,833,260,297,122,523,182,705,1821,477,79,1036,160,264,60,644,126,770
17201003500,2520,408,88,1546,836,169,52,757,396,1153,2541,602,45,1298,888,85,60,698,440,1138,2247,768,10,1095,731,154,173,820,275,1095
17201003400,4432,602,267,2266,453,1003,179,1361,380,1741,5019,742,287,2462,663,672,154,1162,583,1745,4770,1096,143,2244,480,1074,76,1168,752,1920
17201003300,4309,370,369,1956,234,1398,127,735,796,1531,3407,455,228,1510,336,1281,255,697,582,1279,3610,532,122,1805,214,797,194,705,600,1305
17201003200,3589,401,314,1282,201,1964,245,594,683,1277,3691,424,545,1608,264,1406,204,392,799,1191,3368,397,162,1509,88,1273,69,499,588,1087
17201003100,4485,507,407,2346,660,1666,302,609,1166,1775,3815,296,229,1974,518,1444,271,601,1069,1670,3256,507,262,1743,509,1307,376,445,1067,1512
17201003000,1686,306,98,935,763,128,96,535,273,808,1709,335,113,1051,540,236,70,485,288,772,1879,405,108,1117,534,186,35,563,284,847
17201002900,986,536,18,184,104,380,135,7,861,868,1243,556,89,461,160,482,91,20,916,936,1096,462,20,381,132,491,120,38,803,841
17201002800,1590,229,115,769,207,546,98,369,241,610,1818,132,144,650,109,812,122,237,254,491,1258,148,118,577,21,462,97,225,214,439
17201002700,4135,509,193,1502,208,1793,82,511,708,1219,3037,386,456,1471,235,1408,234,414,597,1011,3315,437,239,1435,38,734,129,493,654,1147
17201002600,4130,84,145,707,150,1632,320,229,560,789,3148,204,421,926,180,1566,317,199,508,707,3387,163,371,919,76,1651,285,194,648,842
17201002500,4094,420,358,1273,162,2553,275,455,716,1171,3520,442,340,1293,219,1978,198,368,721,1089,2590,257,201,1397,146,1106,166,345,581,926
17201002400,2679,252,182,1000,135,989,248,503,360,863,2280,392,249,851,98,1213,210,421,450,871,2505,352,200,850,93,1136,187,344,529,873
17201002302,1466,255,126,791,123,207,55,428,99,527,1256,295,81,748,179,228,75,422,129,551,1225,342,97,609,42,199,57,407,147,554
17201002301,2342,499,192,1042,222,998,72,524,442,966,2744,492,263,1300,196,651,77,684,346,1030,2055,485,172,964,136,422,133,542,236,778
17201002200,3689,608,312,1789,231,886,216,1116,244,1360,3737,847,265,1844,283,894,184,925,379,1304,3382,896,133,1649,170,809,142,1074,490,1564
17201002100,1933,192,113,679,183,921,87,383,349,732,2048,253,350,625,137,1381,60,288,395,683,2112,170,130,787,62,1112,70,336,465,801
17201002000,2318,578,198,1129,181,770,208,653,328,981,2795,490,349,1500,68,841,75,526,564,1090,2125,341,49,975,14,612,229,402,418,820
17201001900,3870,763,288,1762,338,1186,152,913,587,1500,3268,792,233,1524,155,619,298,861,405,1266,3352,766,99,1482,80,406,166,926,346,1272
17201001800,4585,667,364,1861,372,1634,607,668,965,1633,5667,647,301,2621,361,2363,314,760,1187,1947,5391,789,476,2602,202,1998,212,970,1161,2131
17201001700,2504,358,123,1391,412,401,181,810,348,1158,3389,445,167,1688,496,448,86,836,392,1228,2781,510,103,1632,452,418,163,731,395,1126
17201001600,4453,855,289,2446,758,660,339,1219,782,2001,5698,936,496,2838,1256,1221,16,1328,967,2295,5191,804,191,2338,439,864,218,858,1288,2146
17201001500,4984,1156,308,2693,923,355,226,1639,561,2200,4915,1119,357,2581,1107,1012,316,1485,588,2073,5228,1535,114,2411,514,468,47,1515,1043,2558
17201001400,4101,543,258,2135,711,694,208,1092,586,1678,3901,693,279,2019,585,985,239,861,679,1540,4202,692,293,2281,319,714,231,799,931,1730
17201001300,2117,129,105,1154,223,915,322,277,641,918,2959,229,371,1414,111,1200,180,266,598,864,2233,324,102,914,170,689,126,427,580,1007
17201001200,1820,171,231,832,77,875,505,173,498,671,2154,195,226,1166,123,776,296,284,567,851,2502,526,115,794,81,1693,245,225,815,1040
17201001100,969,257,183,419,137,533,320,30,583,613,1101,446,63,376,172,433,224,37,676,713,1414,419,30,603,207,538,123,101,732,833
17201001000,2568,186,248,1088,211,1507,559,183,817,1000,2122,256,261,873,143,1247,493,190,762,952,2797,424,271,1121,186,1534,203,284,1009,1293
17201000800,2706,292,175,1594,484,619,341,559,755,1314,2729,346,307,1399,343,1158,356,472,720,1193,2236,476,182,1372,164,561,358,358,868,1226
17201000700,3414,588,65,1916,1144,252,90,1182,265,1447,3208,803,229,1815,991,419,77,874,569,1442,3152,676,93,1820,651,289,180,871,457,1328
17201000600,4233,951,198,2366,1381,430,224,1345,348,1693,4287,1052,199,2025,1454,562,177,1293,413,1706,4223,892,214,2409,1046,411,73,1345,511,1856
17201000516,4200,1396,0,0,1618,127,154,1476,157,1633,4219,1628,311,2263,1715,264,138,1369,312,1681,3704,1644,144,1679,1379,117,65,1376,143,1519
17201000515,2737,660,0,0,937,416,69,726,408,1133,2770,905,170,1657,1017,272,1,799,397,1196,2573,719,14,1365,629,439,80,625,455,1080
17201000514,3560,803,169,1992,1004,216,81,1096,312,1408,3586,1041,169,1930,1022,225,51,1108,395,1503,3753,1109,66,2099,945,202,51,1243,253,1496
17201000513,4171,1803,127,1727,1121,187,144,1326,295,1621,3870,1713,148,1682,1102,272,140,1299,357,1656,4150,1853,258,1552,824,785,110,1221,487,1708
17201000512,4898,1208,125,2791,1759,190,219,1590,723,2313,5267,1435,152,2845,1912,300,101,1421,1137,2558,4592,1749,154,2406,1793,212,0,1451,1206,2657
17201000511,2681,524,115,1414,916,144,48,877,232,1109,2655,554,143,1528,772,211,61,688,365,1053,2483,829,109,1284,743,64,16,821,300,1121
17201000510,3565,770,135,2046,1235,218,42,1123,258,1381,3133,1025,100,1595,1405,108,154,996,207,1203,3552,1025,13,1994,1487,210,48,1140,292,1432
17201000507,4347,1055,262,2260,1105,739,110,657,922,1579,4101,949,193,1963,929,795,146,672,905,1577,3445,1079,141,1522,680,737,97,647,871,1518
17201000506,4013,1127,150,2028,1568,179,97,1560,43,1603,4407,1416,167,2277,1896,159,51,1548,110,1658,4995,1493,185,2375,1102,295,87,1537,220,1757
17201000502,3879,976,90,1877,896,263,190,939,529,1468,3297,792,168,1626,653,595,211,812,531,1343,3881,1051,79,1817,636,814,282,875,562,1437
17201000501,4819,1214,194,2686,882,211,114,1561,462,2023,4309,1089,184,2258,1115,514,246,1265,668,1933,4648,1502,168,2083,983,550,107,1437,612,2049
17201000403,4570,1375,188,2175,1132,663,161,1289,474,1763,4180,1436,127,1897,1252,435,188,1229,573,1802,4453,1752,125,2030,1135,156,83,1253,680,1933
17201000402,2938,916,26,1459,949,149,101,1029,202,1231,2913,1000,69,1500,904,47,67,1019,240,1259,2967,1184,90,1373,858,272,88,1087,155,1242
17201000401,2478,808,25,1215,917,74,35,841,46,887,2061,589,34,1019,585,136,65,748,99,847,2275,652,19,1293,634,166,47,727,205,932
17201000300,4247,667,272,2222,717,700,153,1136,523,1659,4035,800,227,2265,526,696,172,1139,556,1695,3817,822,158,2161,368,822,167,1039,667,1706
17201000200,3189,769,186,1561,468,356,67,860,512,1372,3649,801,279,1787,413,723,101,819,623,1442,3547,753,105,1548,337,1037,155,668,649,1317
17201000105,4518,829,282,2706,538,408,60,1355,242,1597,4032,795,248,2177,496,289,103,1201,257,1458,3939,1000,35,2225,476,333,74,1293,236,1529
17201000104,2693,537,150,1564,279,293,32,888,250,1138,2888,403,200,1687,298,436,23,747,322,1069,2845,398,165,1645,150,658,135,616,481,1097
17201000103,2827,592,142,1488,327,384,103,869,299,1168,2722,547,113,1442,356,428,63,808,348,1156,2432,444,137,1385,171,259,86,626,385,1011
17201000101,5318,1057,326,2609,589,1051,163,1529,574,2103,4972,987,425,2580,639,575,223,1485,406,1891,4795,1129,108,2220,309,465,53,1291,403,1694
17199021400,5028,1082,189,1959,1176,377,350,1383,215,1598,4649,1283,60,1708,1120,195,439,1337,176,1513,5347,1358,211,1959,1221,747,340,1554,227,1781
17199021300,4878,1033,227,2534,1154,267,225,1548,235,1783,4969,1109,75,2555,1381,346,92,1752,186,1938,4989,1185,24,2541,978,482,144,1595,351,1946
17199021200,4709,1219,305,2468,1209,643,193,1492,561,2053,4709,1206,150,2121,1350,881,293,1423,533,1956,4480,1165,207,2173,692,679,289,1198,734,1932
17199021100,3608,564,402,1912,519,1145,286,783,576,1359,3217,756,88,1532,387,983,307,724,608,1332,2773,751,63,1150,331,761,188,612,793,1405
17199021003,829,192,0,0,262,134,116,178,198,376,869,265,46,454,145,266,95,182,192,374,1299,278,15,565,362,203,40,310,279,589
17199021002,1807,580,0,0,432,215,50,462,265,727,1725,564,2,772,581,83,76,458,210,668,1455,657,0,506,402,145,144,513,135,648
17199021001,2239,655,0,0,302,800,248,368,886,1254,2755,691,179,1287,403,650,154,467,897,1364,2803,578,52,1229,466,631,109,503,744,1247
17199020900,3867,823,130,2131,1081,262,228,1342,303,1645,4952,1461,155,2339,1296,263,95,1574,440,2014,4914,1515,94,2490,1146,609,143,1566,644,2210
17199020802,3995,981,0,0,438,679,158,1428,193,1621,3869,867,145,1822,564,527,287,1332,231,1563,3919,1007,184,1905,340,289,433,1306,192,1498
17199020801,2962,555,0,0,505,580,32,1036,91,1127,2494,654,84,1106,439,234,251,766,81,847,2723,686,73,1308,376,292,55,949,159,1108
17199020700,5168,1125,145,2308,664,1277,311,1624,351,1975,4783,975,257,2145,678,820,273,1351,573,1924,4634,1635,86,2007,629,466,189,1546,396,1942
17199020600,3734,939,115,1730,734,467,196,1071,342,1413,4244,1073,109,1948,687,432,105,1324,281,1605,3703,903,122,1601,453,601,163,1128,278,1406
17199020500,3681,712,152,1645,957,574,182,1062,348,1410,3428,890,124,1589,959,667,221,1042,414,1456,3600,970,141,1701,742,484,73,1076,505,1581
17199020400,3546,731,151,1670,492,680,379,1013,579,1592,3750,907,319,1743,673,1008,331,922,746,1668,3966,971,75,1967,401,743,348,1096,685,1781
17199020300,4183,871,110,2120,984,523,143,1294,473,1767,4539,1024,91,2246,1378,258,211,1264,525,1789,4873,1297,73,2569,1092,295,245,1508,631,2139
17199020202,2764,423,268,1585,876,314,71,740,284,1024,2840,400,131,1424,754,555,119,758,237,995,2419,371,73,1278,796,211,149,674,261,935
17199020201,5291,1197,173,2702,1745,880,292,1564,771,2335,5603,1156,131,2814,1527,1060,350,1623,650,2273,5644,1287,84,2822,1420,768,170,1619,759,2378
17199020100,3290,659,185,1503,545,800,286,977,288,1265,3726,749,68,1855,660,555,193,1131,386,1517,3388,832,67,1637,374,566,276,959,452,1411
17197980100,2085,90,24,115,166,0,0,42,0,42,3216,111,12,69,220,11,18,22,18,40,3341,247,0,39,84,0,12,19,0,19
17197980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17197884103,2736,305,144,1684,483,276,125,755,51,807,2959,374,177,1638,634,295,26,714,116,830,2635,400,188,1460,440,132,5,738,120,858
17197884101,3370,1073,89,1356,673,160,0,1162,74,1236,4153,1305,208,1762,787,125,227,1143,148,1291,4694,1615,67,2348,541,349,160,1236,355,1591
17197884006,2485,450,82,1212,257,87,85,759,101,860,2216,473,183,1159,371,305,125,755,55,810,1921,469,36,1046,129,237,119,612,166,778
17197884005,1553,186,151,854,228,56,34,510,70,580,1282,353,80,634,268,157,65,441,91,532,1652,414,87,802,192,112,44,485,81,566
17197884004,2584,570,246,1375,330,417,492,849,126,975,2825,763,122,1372,382,333,555,928,140,1068,2852,911,101,1304,278,293,530,973,205,1178
17197884003,4428,553,355,2418,514,594,71,1384,283,1667,4160,526,169,2377,392,545,161,1214,451,1665,4190,649,100,2323,472,457,57,1198,380,1578
17197883904,4497,789,171,2699,1088,132,78,1478,316,1794,4420,797,354,2662,1137,160,54,1330,269,1599,4394,929,115,2418,706,366,24,1226,581,1807
17197883903,1790,330,29,877,410,9,133,569,25,594,1919,334,103,1077,276,48,50,508,151,659,1861,362,65,1171,313,15,38,612,94,706
17197883902,6051,1123,225,3388,1277,315,136,1836,289,2125,6339,1449,393,3164,1272,440,177,1916,386,2302,6303,1454,59,3123,767,222,239,1845,405,2250
17197883811,3102,828,79,1582,680,259,80,1119,220,1339,3035,830,128,1634,774,188,66,1038,210,1248,3043,932,44,1444,784,293,135,903,227,1130
17197883810,3550,750,170,1816,1326,309,63,1438,50,1488,3781,1092,94,1895,1187,111,151,1141,206,1347,3333,1266,162,1559,1010,95,138,1160,140,1300
17197883809,3945,1017,80,1608,889,192,102,1438,202,1641,3506,1013,164,1956,788,289,204,1383,158,1541,3476,1121,62,1841,342,282,135,1315,193,1508
17197883808,1489,566,29,813,309,71,45,567,57,623,1625,661,94,842,437,86,47,576,126,702,1336,637,65,558,337,107,60,501,98,599
17197883806,3612,960,219,1990,1292,94,27,1292,21,1313,3616,1016,222,1794,1179,483,149,1203,87,1290,3639,990,63,1826,836,264,90,1190,100,1290
17197883804,2587,504,97,1455,553,243,203,911,119,1030,2911,541,240,1478,469,565,154,720,267,987,2714,738,163,1532,354,234,34,882,130,1012
17197883803,2684,318,152,1725,459,253,115,187,1325,1512,2352,368,171,1534,662,392,142,292,1053,1345,2490,397,52,1317,399,428,98,300,874,1174
17197883700,3607,592,177,1837,565,484,74,937,519,1456,2888,602,228,1565,465,425,174,710,470,1180,3239,857,72,1561,471,400,157,947,559,1506
17197883606,4227,394,376,2010,805,216,84,1102,263,1365,3870,524,209,1837,1046,197,126,1019,250,1269,3671,600,136,1889,774,323,125,1116,56,1172
17197883605,3073,232,344,1589,591,722,256,539,538,1077,3123,328,259,1296,448,823,197,448,710,1158,3195,329,46,1688,566,148,190,468,673,1141
17197883603,3331,556,260,1664,513,443,219,812,408,1220,3128,749,224,1352,581,595,109,766,439,1205,2196,588,128,1112,427,323,165,652,293,945
17197883602,5148,1138,148,2822,941,180,160,1782,201,1983,5485,1212,206,3103,1398,238,211,1969,201,2170,6394,2055,70,3691,1167,441,141,2267,242,2509
17197883522,3407,444,85,1855,1139,35,0,1110,42,1152,3477,707,79,2021,941,42,56,1160,16,1175,3123,744,53,1693,938,118,50,1065,83,1148
17197883521,3924,473,91,2268,966,123,0,1101,183,1284,3652,597,98,2102,1075,64,70,1077,169,1247,3723,784,72,2338,1033,64,0,1058,195,1253
17197883519,5208,920,187,2911,1175,294,99,1484,383,1867,5465,1256,216,3287,1748,121,137,1743,167,1910,6094,1579,161,3701,1578,173,192,2042,244,2286
17197883517,3351,291,195,2068,1020,34,110,967,267,1234,3182,715,62,1714,1223,110,53,1009,210,1219,3540,987,64,2020,942,302,32,989,287,1276
17197883516,6710,726,122,3431,2291,81,51,1841,49,1890,6989,1137,270,3488,2882,504,90,2038,42,2080,7188,1289,160,3577,2424,174,54,2131,98,2229
17197883515,3912,721,23,1896,1358,146,61,1252,55,1307,4002,924,144,2118,1521,115,52,1254,80,1334,4670,1250,99,2450,1592,77,31,1453,127,1580
17197883514,7098,1017,153,3667,2165,498,80,2240,48,2288,7403,1094,230,3888,2542,170,0,2253,21,2274,7065,1278,208,4142,2502,244,155,2169,66,2235
17197883513,4955,507,276,2756,1294,80,10,1465,12,1477,5548,602,184,3009,1345,509,0,1617,48,1665,5564,730,189,3474,1403,337,132,1669,46,1715
17197883511,5022,410,161,2781,1195,115,114,1666,2,1668,4695,475,123,2878,1319,110,132,1443,182,1625,4430,889,221,2807,1074,146,21,1437,188,1625
17197883510,4685,405,64,2816,992,39,94,1413,63,1476,5127,457,300,2782,1273,178,56,1464,92,1556,5822,577,123,3282,1119,393,107,1537,219,1756
17197883509,4174,525,71,2274,1120,231,112,1347,226,1573,4257,692,156,2388,1190,212,37,1373,256,1629,4356,932,92,2413,848,117,75,1502,222,1724
17197883507,3878,521,135,2182,898,168,49,1188,76,1264,4011,844,150,2165,1270,264,42,1217,39,1256,3973,1020,271,2450,837,163,55,1303,94,1397
17197883505,7436,860,163,4311,2657,249,223,2346,25,2372,8669,1181,547,4486,2790,450,93,2255,211,2466,8532,1257,233,5176,2376,29,174,2378,161,2539
17197883504,5076,1648,126,2431,1683,178,197,1835,110,1945,4943,1772,95,2421,1813,119,149,1972,84,2056,5517,2079,55,2459,2039,301,59,1930,175,2105
17197883402,2021,477,82,1105,181,13,173,702,187,889,2221,365,123,1028,274,293,161,583,283,866,1819,437,47,974,205,235,131,570,235,805
17197883401,4351,848,245,2108,645,352,118,1156,463,1619,3977,887,192,1990,555,565,176,961,579,1540,4282,1231,58,2315,448,382,109,1056,634,1690
17197883307,4146,819,187,2221,597,171,80,1337,172,1509,4081,844,172,1980,730,434,136,1339,201,1540,4032,946,79,2354,557,304,111,1452,133,1585
17197883306,3686,254,132,1947,677,86,15,1058,81,1139,3887,461,217,2134,732,316,54,987,124,1111,3453,549,104,1928,569,99,23,1002,137,1139
17197883305,2961,358,130,1597,681,2,40,978,38,1016,3141,514,135,1922,758,34,56,980,49,1029,3453,948,71,1702,588,417,0,995,172,1167
17197883304,1665,356,34,914,208,7,52,586,59,645,1833,381,108,1008,441,166,61,651,10,661,1721,528,12,886,275,126,91,659,22,681
17197883303,3658,495,126,2009,841,15,0,1102,23,1125,3390,562,129,1920,955,23,0,1043,69,1112,3773,971,15,2039,1036,71,25,1129,49,1178
17197883219,2481,178,0,0,510,72,40,767,69,837,2808,189,94,1538,645,146,32,814,85,899,3304,629,43,1696,586,312,0,752,329,1081
17197883218,3131,225,0,0,643,91,42,803,72,875,3543,238,119,1941,814,180,33,852,89,941,4359,271,49,2245,725,66,0,1002,129,1131
17197883217,3723,273,0,0,764,113,56,1072,96,1168,4205,289,142,2305,967,221,44,1135,118,1254,3405,470,135,2061,335,0,0,829,213,1042
17197883216,3168,585,139,1731,937,71,17,1078,23,1101,2779,639,82,1581,766,36,121,875,36,911,3117,667,32,1725,729,54,90,1016,50,1066
17197883214,2792,507,70,1405,545,394,69,998,32,1029,2679,598,162,1531,698,149,17,908,92,1000,2682,491,51,1248,397,68,30,864,57,921
17197883213,4773,1032,131,2705,1753,52,10,1621,172,1793,5741,1491,255,3235,2138,458,104,1800,222,2022,5621,2618,72,2547,1935,59,112,2122,198,2320
17197883212,5076,604,216,2700,1667,107,187,1532,72,1604,5765,741,236,2950,1827,364,35,1662,106,1768,6294,1038,302,3297,1821,166,20,2012,50,2062
17197883211,5912,557,199,2942,1317,450,254,1738,243,1981,6335,756,246,3373,1237,238,228,1687,231,1918,5835,1002,155,3113,1009,534,349,1526,297,1823
17197883210,2537,889,36,1178,1112,135,56,993,234,1227,2544,913,41,1339,970,80,83,924,363,1287,2434,1016,37,1160,754,296,59,794,532,1326
17197883209,2910,419,222,1763,698,11,107,836,112,948,3343,624,112,1738,682,197,85,761,273,1034,2880,760,80,1690,353,72,45,840,208,1048
17197883208,3252,888,241,1808,626,193,29,1140,288,1428,2792,843,70,1347,593,497,98,999,275,1274,3202,1066,31,1574,589,345,81,1129,332,1461
17197883206,4455,861,273,2497,1198,234,55,1354,376,1730,4303,889,137,2438,1040,424,107,1273,451,1724,4421,987,132,2372,810,303,161,1269,440,1709
17197883100,4024,746,229,1919,385,504,170,1052,467,1519,4461,860,279,2111,404,776,162,998,505,1503,4240,904,167,2037,306,931,97,877,559,1436
17197883000,3894,1203,259,1715,521,450,198,705,453,1158,3585,1124,215,1555,425,400,244,719,400,1119,3247,1040,169,1225,285,282,67,545,468,1013
17197882900,2426,401,173,1400,285,173,83,576,396,972,2494,411,153,1376,342,336,52,467,480,947,2832,476,157,1490,107,638,125,485,450,935
17197882802,3259,807,270,1316,371,556,0,637,542,1179,3247,988,212,1357,326,622,104,420,665,1085,3499,950,178,1556,187,720,150,423,737,1160
17197882801,2789,640,140,1163,371,766,99,763,440,1203,2732,668,100,1421,573,299,70,566,608,1174,2556,773,92,1203,391,386,119,721,329,1050
17197882702,3512,281,287,2048,445,534,64,486,674,1160,3244,234,225,1709,298,498,186,415,572,987,3011,342,94,2008,374,298,101,426,753,1179
17197882701,2573,357,75,1415,519,56,80,652,238,890,2512,463,57,1356,711,217,80,690,165,855,2791,479,97,1553,473,138,82,685,222,907
17197882602,3143,186,340,1527,122,1182,92,504,431,935,3025,257,288,1517,235,886,132,380,465,845,2574,356,81,1333,185,535,159,480,381,861
17197882601,2905,613,113,1463,444,256,94,911,164,1075,3468,479,141,1951,640,513,53,871,230,1101,3583,540,162,1865,175,528,64,770,399,1169
17197882500,2194,250,292,831,221,827,89,270,475,745,2428,270,229,1077,167,649,61,237,534,771,1781,235,71,935,23,506,50,207,406,613
17197882400,4311,403,221,2000,199,970,82,682,468,1150,4077,436,381,2124,274,926,164,590,551,1141,4128,516,258,2115,151,766,87,601,530,1131
17197882300,4179,540,317,2381,248,875,86,1162,361,1523,3505,400,276,1945,309,521,193,799,480,1279,3508,574,242,1907,291,339,72,909,403,1312
17197882200,4778,372,413,2170,244,1092,217,719,606,1325,4543,483,315,2172,147,829,86,879,568,1447,4144,388,106,2077,244,960,120,618,652,1270
17197882100,2658,254,141,1179,107,1080,132,251,365,616,2732,284,227,1419,119,709,53,290,420,710,3165,363,146,1676,76,605,63,353,407,760
17197882000,3466,143,226,1525,154,674,184,177,758,935,3652,376,177,1343,239,1236,133,238,805,1043,2550,264,64,895,55,237,324,170,508,678
